id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at
2561135467,https://www.vivareal.com.br/imovel/apartamento-1-quartos-botafogo-bairros-campinas-com-garagem-47m2-aluguel-RS2600-id-2561135467/,"Apartamento com Quarto para Aluguel, 47m²","Rua Alaor Malta Guimarães, 40 - Botafogo, Campinas - SP",47,1 Quarto,1 Banheiro,1 Vaga,"Churrasqueira
Academia",R$ 2.600 /mês,R$ 492,Campinas,2022-05-11 22:33
2527777479,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cambui-bairros-campinas-com-garagem-122m2-venda-RS1400000-id-2527777479/,Apartamento com 2 Quartos para Venda/Aluguel 122m²,"Rua Alecrins, 700 - Cambuí, Campinas - SP",122,2 Quartos,3 Banheiros,2 Vagas,Sauna,"R$ 9.000 /mês
R$ 1.400.000",R$ 1.250,Campinas,2022-05-11 22:33
2542212238,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-proenca-bairros-campinas-com-garagem-81m2-aluguel-RS1250-id-2542212238/,"Apartamento com 2 Quartos para Aluguel, 81m²","Rua Dom Luís Antônio de Sousa, 49 - Jardim Proença, Campinas - SP",81,2 Quartos,2 Banheiros,1 Vaga,"Cozinha
Elevador
Varanda
Área de serviço",R$ 1.250 /mês,R$ 620,Campinas,2022-05-11 22:33
2556894424,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-marieta-bairros-campinas-com-garagem-49m2-aluguel-RS1700-id-2556894424/,"Apartamento com 2 Quartos para Aluguel, 49m²","Avenida Washington Luís, 4000 - Vila Marieta, Campinas - SP",49,2 Quartos,1 Banheiro,1 Vaga,"Lareira
Garagem",R$ 1.700 /mês,R$ 242,Campinas,2022-05-11 22:33
2561879501,https://www.vivareal.com.br/imovel/apartamento-2-quartos-mansoes-santo-antonio-bairros-campinas-com-garagem-73m2-aluguel-RS3200-id-2561879501/,"Apartamento com 2 Quartos para Aluguel, 73m²","Rua Jasmim - Mansões Santo Antônio, Campinas - SP",73,2 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 3.200 /mês,R$ 600,Campinas,2022-05-11 22:33
2560915007,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-campinas-com-garagem-119m2-aluguel-RS2100-id-2560915007/,"Apartamento com 3 Quartos para Aluguel, 119m²","Avenida Doutor Moraes Salles, 1610 - Centro, Campinas - SP",119,3 Quartos,1 Banheiro,1 Vaga,,R$ 2.100 /mês,,Campinas,2022-05-11 22:33
2561869561,https://www.vivareal.com.br/imovel/apartamento-2-quartos-chacara-da-barra-bairros-campinas-com-garagem-77m2-aluguel-RS1250-id-2561869561/,"Apartamento com 2 Quartos para Aluguel, 77m²","Rua Mogi Guaçu, 88 - Chácara da Barra, Campinas - SP",77,2 Quartos,2 Banheiros,1 Vaga,Cozinha,R$ 1.250 /mês,R$ 300,Campinas,2022-05-11 22:33
2533360312,https://www.vivareal.com.br/imovel/apartamento-4-quartos-cambui-bairros-campinas-com-garagem-161m2-venda-RS1200000-id-2533360312/,Apartamento com 4 Quartos para Venda/Aluguel 161m²,"Rua Coronel Quirino, 1343 - Cambuí, Campinas - SP",161,4 Quartos,5 Banheiros,2 Vagas,,"R$ 5.200 /mês
R$ 1.200.000",R$ 1.000,Campinas,2022-05-11 22:33
2560352378,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bosque-bairros-campinas-com-garagem-70m2-aluguel-RS850-id-2560352378/,"Apartamento com 2 Quartos para Aluguel, 70m²","Rua Barão de Paranapanema, 208 - Bosque, Campinas - SP",70,2 Quartos,2 Banheiros,1 Vaga,"Portão eletrônico
Portaria 24h",R$ 850 /mês,R$ 580,Campinas,2022-05-11 22:33
2559622392,https://www.vivareal.com.br/imovel/apartamento-2-quartos-mansoes-santo-antonio-bairros-campinas-com-garagem-75m2-venda-RS480000-id-2559622392/,Apartamento com 2 Quartos para Venda/Aluguel 75m²,"Rua Hermantino Coelho, 161 - Mansões Santo Antônio, Campinas - SP",75,2 Quartos,2 Banheiros,1 Vaga,Varanda,"R$ 2.600 /mês
R$ 480.000",R$ 600,Campinas,2022-05-11 22:33
2553896894,https://www.vivareal.com.br/imovel/apartamento-3-quartos-botafogo-bairros-campinas-91m2-aluguel-RS2000-id-2553896894/,"Apartamento com 3 Quartos para Aluguel, 91m²","Rua Comendador Luiz José Pereira de Queiroz, 170 - Botafogo, Campinas - SP",91,3 Quartos,2 Banheiros,-- Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 2.000 /mês,R$ 445,Campinas,2022-05-11 22:33
2561723361,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-itapura-bairros-campinas-com-garagem-60m2-aluguel-RS1000-id-2561723361/,"Apartamento com Quarto para Aluguel, 60m²","Vila Itapura, Campinas - SP",60,1 Quarto,1 Banheiro,1 Vaga,,R$ 1.000 /mês,R$ 420,Campinas,2022-05-11 22:33
